,color,date,link,moves,my_elo,opponent_country,opponent_elo,opponent_name,result,speed
21,white,"Sep 17, 2019",https://www.chess.com/analysis/game/live/4040833405,33,1135,Netherlands,1028,MrSjaeks,win,5 min
22,black,"Sep 17, 2019",https://www.chess.com/analysis/game/live/4040572196,42,1129,International,1159,solaise,win,5 min
23,white,"Sep 16, 2019",https://www.chess.com/analysis/game/live/4039741934,28,1120,Brazil,1184,gersonbb,loss,5 min
24,white,"Sep 16, 2019",https://www.chess.com/analysis/game/live/4039726306,43,1127,Mexico,1064,mochiswelt,win,5 min
25,black,"Sep 16, 2019",https://www.chess.com/analysis/game/live/4039497823,51,1120,Canada,1121,Habanaman,win,5 min
26,black,"Sep 16, 2019",https://www.chess.com/analysis/game/live/4039491811,8,1112,Canada,1091,paininthechess,loss,5 min
27,black,"Sep 16, 2019",https://www.chess.com/analysis/game/live/4038927696,59,1121,Spain,1142,JJARRIBASR,win,5 min
28,white,"Sep 16, 2019",https://www.chess.com/analysis/game/live/4038924667,8,1112,Germany,1086,anabolex,win,5 min
29,white,"Sep 16, 2019",https://www.chess.com/analysis/game/live/4037988046,43,1104,International,1001,antfisch,loss,5 min
30,white,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4036753851,59,1115,Iran,1160,mehdi40000,draw,5 min
31,black,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4036715863,21,1114,Chile,1165,lordofloncoche,loss,5 min
32,white,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4036532161,33,1121,Russia,1080,anisimov_alexandr,loss,5 min
33,white,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4036344759,28,1130,United States,1103,lavericksmith,loss,5 min
34,white,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4036289171,48,1139,France,1056,bonaparte69,win,5 min
35,black,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4036272278,18,1133,Sweden,1152,lustel,win,5 min
36,black,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4036114581,32,1124,United Kingdom,1067,Gobez2233,win,5 min
37,black,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4035755978,18,1117,United Kingdom,1101,Comawoot,win,5 min
38,black,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4035448966,53,1109,United States,1145,ashy,loss,5 min
39,white,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4035440965,17,1117,United States,1137,ashy,win,5 min
40,black,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4035295603,41,1108,Finland,1209,jealsi,loss,5 min
41,white,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4035289134,18,1114,South Korea,1064,nombreramdon,win,5 min
42,white,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4035147689,17,1107,India,1156,somss,win,5 min
43,white,"Sep 15, 2019",https://www.chess.com/analysis/game/live/4035032177,38,1097,Turkey,1130,mirka34,loss,5 min
44,black,"Sep 14, 2019",https://www.chess.com/analysis/game/live/4034247882,63,1105,South Africa,1045,Babonke,win,5 min
45,black,"Sep 14, 2019",https://www.chess.com/analysis/game/live/4032716851,59,1098,India,1150,Aiman2003,loss,5 min
46,white,"Sep 14, 2019",https://www.chess.com/analysis/game/live/4032486393,18,1105,Philippines,1142,noellasam,loss,5 min
47,black,"Sep 14, 2019",https://www.chess.com/analysis/game/live/4032465158,32,1112,Philippines,1135,noellasam,loss,5 min
48,white,"Sep 14, 2019",https://www.chess.com/analysis/game/live/4032452633,17,1120,Philippines,1127,noellasam,win,5 min
49,error,"Sep 13, 2019",https://www.chess.com/analysis/game/live/4031162119,28,1111,United States,1139,satchhol,loss,5 min
50,black,"Sep 13, 2019",https://www.chess.com/analysis/game/live/4031123145,28,1119,Israel,1118,twinbado,loss,5 min
51,black,"Sep 13, 2019",https://www.chess.com/analysis/game/live/4031105254,32,1127,United States,1149,mike9876,win,5 min
52,white,"Sep 13, 2019",https://www.chess.com/analysis/game/live/4030210509,20,1118,Cuba,1081,howard32,win,5 min
53,white,"Sep 13, 2019",https://www.chess.com/analysis/game/live/4029614612,47,1110,Canada,1015,SlothKoala,win,5 min
54,white,"Sep 13, 2019",https://www.chess.com/analysis/game/live/4029429788,36,1104,Philippines,1113,kurtchris,loss,5 min
55,white,"Sep 13, 2019",https://www.chess.com/analysis/game/live/4029418617,35,1112,Russia,1023,mnaydenkin,win,5 min
56,black,"Sep 12, 2019",https://www.chess.com/analysis/game/live/4027736251,28,1106,United States,1022,dramirez8o,win,5 min
57,white,"Sep 12, 2019",https://www.chess.com/analysis/game/live/4026874149,28,1100,Czech Republic,1187,minikluk7,loss,5 min
58,black,"Sep 11, 2019",https://www.chess.com/analysis/game/live/4025670410,19,1106,Brazil,1099,tvicente_86,loss,5 min
59,black,"Sep 11, 2019",https://www.chess.com/analysis/game/live/4025668519,9,1115,United States,1143,joshuabrown31826,win,5 min
60,white,"Sep 11, 2019",https://www.chess.com/analysis/game/live/4025574568,37,1106,Albania,1160,Kira7g,loss,5 min
61,black,"Sep 11, 2019",https://www.chess.com/analysis/game/live/4024600669,24,1113,United States,1182,skilletchess,loss,5 min
62,white,"Sep 11, 2019",https://www.chess.com/analysis/game/live/4023985399,32,1120,United Kingdom,1199,vampa23,loss,5 min
63,black,"Sep 10, 2019",https://www.chess.com/analysis/game/live/4021285655,52,1126,United Kingdom,1124,Sumami,draw,5 min
64,black,"Sep 10, 2019",https://www.chess.com/analysis/game/live/4021275740,14,1126,Brazil,1096,amacprof,win,5 min
65,white,"Sep 9, 2019",https://www.chess.com/analysis/game/live/4020005333,42,1118,United States,1145,F0RRE5T,loss,5 min
66,white,"Sep 9, 2019",https://www.chess.com/analysis/game/live/4019866488,48,1126,Canada,1088,harveyjames1,loss,5 min
67,white,"Sep 9, 2019",https://www.chess.com/analysis/game/live/4018492230,14,1135,Serbia,1226,Cweovic,loss,5 min
68,white,"Sep 9, 2019",https://www.chess.com/analysis/game/live/4018488071,15,1141,Argentina,1184,Roundabout29,loss,5 min
69,white,"Sep 8, 2019",https://www.chess.com/analysis/game/live/4017168352,43,1148,Egypt,1131,Nour2Eldin,win,5 min
70,black,"Sep 8, 2019",https://www.chess.com/analysis/game/live/4016891050,15,1140,France,1202,nouri51,loss,5 min
71,black,"Sep 8, 2019",https://www.chess.com/analysis/game/live/4016856915,12,1147,Italy,1118,Albertones,loss,5 min
72,black,"Sep 8, 2019",https://www.chess.com/analysis/game/live/4016626709,37,1156,United States,1214,mike8219,loss,5 min
73,white,"Sep 8, 2019",https://www.chess.com/analysis/game/live/4016358813,20,1163,Mexico,1126,bichopalicho_apodaca,loss,5 min
74,white,"Sep 8, 2019",https://www.chess.com/analysis/game/live/4016318728,54,1172,India,1198,JahnuSaloi,draw,5 min
75,black,"Sep 8, 2019",https://www.chess.com/analysis/game/live/4016283238,39,1171,United States,1195,EDUARDO196526,win,5 min
76,white,"Sep 8, 2019",https://www.chess.com/analysis/game/live/4016265189,25,1162,Finland,1090,pikkuhukka,win,5 min
77,black,"Sep 8, 2019",https://www.chess.com/analysis/game/live/4016224351,45,1155,Brazil,1099,walmirgil,win,5 min
78,white,"Sep 8, 2019",https://www.chess.com/analysis/game/live/4016007935,34,1148,Denmark,1149,I168PCG,win,5 min
79,black,"Sep 7, 2019",https://www.chess.com/analysis/game/live/4014202361,25,1140,Switzerland,1141,blaverte,loss,5 min
80,white,"Sep 7, 2019",https://www.chess.com/analysis/game/live/4014190732,26,1148,United States,1046,daiviko,win,5 min
81,white,"Sep 7, 2019",https://www.chess.com/analysis/game/live/4014044100,40,1142,United States,1177,marineclem,loss,5 min
82,black,"Sep 7, 2019",https://www.chess.com/analysis/game/live/4013756785,30,1150,United States,1151,Tzedakah777,win,5 min
83,black,"Sep 7, 2019",https://www.chess.com/analysis/game/live/4013740451,26,1142,Ireland,1109,ocrjp,win,5 min
84,black,"Sep 7, 2019",https://www.chess.com/analysis/game/live/4013680423,19,1134,Bulgaria,1096,GMSashchuk,win,5 min
85,white,"Sep 7, 2019",https://www.chess.com/analysis/game/live/4013114097,37,1127,United States,1149,rogerbonnie10,loss,5 min
86,white,"Sep 7, 2019",https://www.chess.com/analysis/game/live/4012823796,36,1135,South Korea,1240,giwon,loss,5 min
87,black,"Sep 7, 2019",https://www.chess.com/analysis/game/live/4012796873,53,1141,Brazil,1272,negoguima,loss,5 min
88,black,"Sep 6, 2019",https://www.chess.com/analysis/game/live/4011220813,26,1146,Israel,1121,overthesummer2,loss,5 min
89,white,"Sep 6, 2019",https://www.chess.com/analysis/game/live/4010869321,29,1155,Brazil,1151,celiogomes,loss,5 min
90,black,"Sep 6, 2019",https://www.chess.com/analysis/game/live/4010154446,46,1164,Mexico,1242,ggarcialaredo90,win,5 min
91,white,"Sep 5, 2019",https://www.chess.com/analysis/game/live/4007545800,30,1154,Italy,1195,Gaby0208,loss,5 min
92,white,"Sep 5, 2019",https://www.chess.com/analysis/game/live/4007297389,36,1161,United States,1120,Bennie12,loss,5 min
93,black,"Sep 4, 2019",https://www.chess.com/analysis/game/live/4005400602,16,1170,Russia,1212,MVR288MVR,loss,5 min
94,white,"Sep 4, 2019",https://www.chess.com/analysis/game/live/4004862040,29,1177,United Kingdom,1138,katana151,loss,5 min
95,black,"Sep 4, 2019",https://www.chess.com/analysis/game/live/4004626632,58,1186,United States,1079,dcinboston007,win,5 min
96,black,"Sep 3, 2019",https://www.chess.com/analysis/game/live/4003531239,45,1180,United States,1185,taktiks23,win,5 min
97,white,"Sep 3, 2019",https://www.chess.com/analysis/game/live/4003359801,11,978,United States,934,Ap4263,loss,1 min
98,white,"Sep 3, 2019",https://www.chess.com/analysis/game/live/4003334227,39,1172,Brazil,1132,iagoporto,win,5 min
99,white,"Sep 3, 2019",https://www.chess.com/analysis/game/live/4001797250,57,1165,Hong Kong,1086,GaryCheng,win,5 min
100,black,"Sep 3, 2019",https://www.chess.com/live/game/4001796089?username=eono619,2,1159,Tunisia,1143,Kais55,win,5 min
101,black,"Sep 1, 2019",https://www.chess.com/analysis/game/live/3996705164,33,1151,Norway,1206,Haynk,loss,5 min
102,black,"Aug 31, 2019",https://www.chess.com/analysis/game/live/3995438462,10,1158,India,1214,Rajith_27,loss,5 min
103,white,"Aug 31, 2019",https://www.chess.com/analysis/game/live/3995423454,17,1165,India,1053,tarun124,win,5 min
104,black,"Aug 31, 2019",https://www.chess.com/analysis/game/live/3995373762,72,1159,France,1054,jsgc1987,loss,5 min
105,white,"Aug 31, 2019",https://www.chess.com/analysis/game/live/3995368582,20,1170,United States,1223,readymix,loss,5 min
106,white,"Aug 31, 2019",https://www.chess.com/analysis/game/live/3995228018,32,1177,United States,1256,Shaqeer777,loss,5 min
107,white,"Aug 31, 2019",https://www.chess.com/analysis/game/live/3995222983,7,1184,Estonia,1186,vellokilusk,win,5 min
108,black,"Aug 31, 2019",https://www.chess.com/analysis/game/live/3994231704,17,1176,Romania,1131,danrotaru20,loss,5 min
109,white,"Aug 31, 2019",https://www.chess.com/analysis/game/live/3994213267,39,1186,United States,1122,cherucheril,win,5 min
110,black,"Aug 31, 2019",https://www.chess.com/analysis/game/live/3994195955,21,1179,India,1058,shivshankarsahu,win,5 min
111,black,"Aug 31, 2019",https://www.chess.com/analysis/game/live/3994011162,33,1173,United States,1116,irmd,win,5 min
112,white,"Aug 30, 2019",https://www.chess.com/analysis/game/live/3991663124,38,1166,Croatia,1006,shahkarlo,win,5 min
113,black,"Aug 30, 2019",https://www.chess.com/analysis/game/live/3991018332,24,1161,United States,1103,Josilas,loss,5 min
114,white,"Aug 29, 2019",https://www.chess.com/analysis/game/live/3989526870,35,990,United States,893,Aureliousii,win,1 min
115,white,"Aug 29, 2019",https://www.chess.com/analysis/game/live/3988279739,27,1171,United States,1156,boydc7,loss,5 min
116,black,"Aug 28, 2019",https://www.chess.com/analysis/game/live/3986285902,24,1180,International,1205,galleongo,loss,5 min
117,black,"Aug 28, 2019",https://www.chess.com/analysis/game/live/3985571143,40,1188,United Kingdom,1130,Scudmissile,win,5 min
118,white,"Aug 28, 2019",https://www.chess.com/analysis/game/live/3985564387,17,1181,United Kingdom,1137,wucan1,loss,5 min
119,white,"Aug 27, 2019",https://www.chess.com/analysis/game/live/3984441979,29,1190,United States,1167,templar256,win,5 min
120,black,"Aug 27, 2019",https://www.chess.com/analysis/game/live/3984246468,41,1182,Russia,1160,Bucco81,loss,5 min
121,black,"Aug 27, 2019",https://www.chess.com/analysis/game/live/3983369085,31,1191,United States,1171,F0RRE5T,loss,5 min
122,black,"Aug 27, 2019",https://www.chess.com/analysis/game/live/3982776825,27,1200,Vietnam,1164,maivangco,loss,5 min
123,white,"Aug 26, 2019",https://www.chess.com/analysis/game/live/3981472822,17,1209,Belgium,1285,Horacine,win,5 min
124,black,"Aug 26, 2019",https://www.chess.com/analysis/game/live/3980863298,20,1199,United States,1150,synapseelim,win,5 min
125,white,"Aug 26, 2019",https://www.chess.com/analysis/game/live/3979997278,53,1192,Cuba,1162,Carles_badens,loss,5 min
126,white,"Aug 25, 2019",https://www.chess.com/analysis/game/live/3978710175,33,1201,Canada,1119,RichardK,win,5 min
127,white,"Aug 25, 2019",https://www.chess.com/analysis/game/live/3978644292,24,1195,United States,1243,toshbear,win,5 min
128,black,"Aug 25, 2019",https://www.chess.com/analysis/game/live/3978097109,44,1185,Russia,1201,vova35,win,5 min
129,black,"Aug 25, 2019",https://www.chess.com/analysis/game/live/3978039120,50,1176,France,1141,mlnon5,win,5 min
130,white,"Aug 25, 2019",https://www.chess.com/analysis/game/live/3977602655,37,1168,United States,1081,albv60,loss,5 min
131,black,"Aug 23, 2019",https://www.chess.com/analysis/game/live/3972967966,48,1178,Saudi Arabia,1169,MohammedAlsemail,win,5 min
132,white,"Aug 23, 2019",https://www.chess.com/analysis/game/live/3972346419,18,1170,Greece,1137,Efszogakis,loss,5 min
133,black,"Aug 23, 2019",https://www.chess.com/analysis/game/live/3971948605,27,1179,Finland,1176,tehosekoitin,loss,5 min
134,black,"Aug 23, 2019",https://www.chess.com/analysis/game/live/3971667196,31,1187,North Macedonia,1176,stodosovski,loss,5 min
135,white,"Aug 22, 2019",https://www.chess.com/analysis/game/live/3970507825,17,983,India,1014,Icecrem500,win,1 min
136,black,"Aug 22, 2019",https://www.chess.com/analysis/game/live/3970393195,22,1196,Puerto Rico,1248,Edy1967,win,5 min
137,white,"Aug 22, 2019",https://www.chess.com/analysis/game/live/3969681090,19,1186,India,1096,malayam,win,5 min
138,white,"Aug 22, 2019",https://www.chess.com/analysis/game/live/3969173753,44,1180,United States,1144,superrican,win,5 min
139,white,"Aug 21, 2019",https://www.chess.com/analysis/game/live/3968076363,45,1173,Uruguay,1310,Santiago_91,loss,5 min
140,black,"Aug 21, 2019",https://www.chess.com/analysis/game/live/3967884379,30,973,United States,1016,mgr84,loss,1 min
141,black,"Aug 21, 2019",https://www.chess.com/analysis/game/live/3967186376,55,1178,South Africa,1166,Gariz305,win,5 min
142,white,"Aug 21, 2019",https://www.chess.com/analysis/game/live/3966549202,29,1170,Romania,1142,inotul,loss,5 min
143,black,"Aug 20, 2019",https://www.chess.com/analysis/game/live/3965245588,26,1179,Canada,1175,levkickssoccer,loss,5 min
144,white,"Aug 20, 2019",https://www.chess.com/analysis/game/live/3965062704,58,982,United States,951,philly0709,win,1 min
145,black,"Aug 20, 2019",https://www.chess.com/analysis/game/live/3964971673,40,1188,United States,1285,los189,loss,5 min
146,black,"Aug 20, 2019",https://www.chess.com/analysis/game/live/3963936019,41,1194,Bulgaria,1199,Momchi73,win,5 min
147,black,"Aug 20, 2019",https://www.chess.com/analysis/game/live/3963649575,55,1185,Germany,1159,DeciuVers,win,5 min
148,white,"Aug 19, 2019",https://www.chess.com/analysis/game/live/3962640454,63,1177,India,1169,andy3519,win,5 min
149,white,"Aug 19, 2019",https://www.chess.com/analysis/game/live/3962020020,52,1169,Sweden,1190,OlgasGambit,draw,5 min
150,white,"Aug 19, 2019",https://www.chess.com/analysis/game/live/3961621562,33,1169,Algeria,1329,bonbino,loss,5 min
151,white,"Aug 19, 2019",https://www.chess.com/analysis/game/live/3960965757,57,1174,Indonesia,1182,JUNAIDI16,win,5 min
152,black,"Aug 18, 2019",https://www.chess.com/analysis/game/live/3959939836,38,1165,Canada,1151,ikarus,win,5 min
153,white,"Aug 18, 2019",https://www.chess.com/analysis/game/live/3958965065,52,1157,Brazil,1190,Mauscott,win,5 min
154,black,"Aug 18, 2019",https://www.chess.com/analysis/game/live/3958585663,33,1148,Colombia,1111,oscarbol,loss,5 min
155,black,"Aug 18, 2019",https://www.chess.com/analysis/game/live/3958392140,38,1157,United States,1163,Ettifaqi,loss,5 min
156,black,"Aug 18, 2019",https://www.chess.com/analysis/game/live/3958349594,27,1165,United States,1182,tripspud,loss,5 min
157,black,"Aug 18, 2019",https://www.chess.com/analysis/game/live/3958320802,75,1173,Syria,1226,kaisar1988,win,5 min
158,white,"Aug 17, 2019",https://www.chess.com/analysis/game/live/3956800895,30,1163,Canada,1131,Knightvenger,win,5 min
159,black,"Aug 17, 2019",https://www.chess.com/analysis/game/live/3956764124,28,1155,United States,1107,reallykenneth,loss,5 min
160,white,"Aug 17, 2019",https://www.chess.com/analysis/game/live/3956750410,32,1165,United States,1097,reallykenneth,win,5 min
161,white,"Aug 17, 2019",https://www.chess.com/analysis/game/live/3956744030,19,1158,United States,1092,nosumting,win,5 min
162,white,"Aug 17, 2019",https://www.chess.com/analysis/game/live/3956476189,76,1151,United States,1167,MACMACITSWYATT,win,5 min
163,white,"Aug 17, 2019",https://www.chess.com/analysis/game/live/3955991351,50,1142,Sweden,1118,lustel,win,5 min
164,error,"Aug 17, 2019",https://www.chess.com/analysis/game/live/3955862816,55,1134,Dominican Republic,1126,BlackskullzDR,win,5 min
165,black,"Aug 17, 2019",https://www.chess.com/analysis/game/live/3955791217,76,1126,Colombia,1113,albeiro12,win,5 min
166,black,"Aug 16, 2019",https://www.chess.com/analysis/game/live/3954097349,16,1118,United States,1099,Giallo8,loss,5 min
167,black,"Aug 16, 2019",https://www.chess.com/analysis/game/live/3953326374,44,1127,United Kingdom,1177,MessyGreg,loss,5 min
168,white,"Aug 15, 2019",https://www.chess.com/analysis/game/live/3950196382,40,1134,Japan,1157,UnikaSa1,loss,5 min
169,white,"Aug 14, 2019",https://www.chess.com/analysis/game/live/3949245080,26,1142,Russia,1161,sandroshootingstar,loss,5 min
170,black,"Aug 14, 2019",https://www.chess.com/analysis/game/live/3949120733,49,1150,Canada,1175,maxzims,loss,5 min
171,white,"Aug 14, 2019",https://www.chess.com/analysis/game/live/3948489737,58,1158,Canada,1135,jcaron,win,5 min
172,white,"Aug 14, 2019",https://www.chess.com/analysis/game/live/3947480467,35,1150,North Macedonia,1158,hiohi,win,5 min
173,white,"Aug 13, 2019",https://www.chess.com/analysis/game/live/3946384136,26,1141,France,1145,Arman57M,loss,5 min
174,black,"Aug 13, 2019",https://www.chess.com/analysis/game/live/3946335453,40,1149,United Kingdom,1153,Manjulikaa,win,5 min
175,white,"Aug 13, 2019",https://www.chess.com/analysis/game/live/3946143534,20,973,Germany,985,orphal,loss,1 min
176,black,"Aug 13, 2019",https://www.chess.com/analysis/game/live/3946136558,10,982,Spain,1007,Hernandezmacias,loss,1 min
177,black,"Aug 13, 2019",https://www.chess.com/analysis/game/live/3946065842,52,1140,Mexico,1142,thepimp25,draw,5 min
178,black,"Aug 13, 2019",https://www.chess.com/analysis/game/live/3944815293,53,1140,United States,1104,max-mesirow,win,5 min
179,white,"Aug 13, 2019",https://www.chess.com/analysis/game/live/3944516891,22,1132,India,1129,ARUN1958,loss,5 min
180,black,"Aug 12, 2019",https://www.chess.com/analysis/game/live/3943649558,24,1140,United States,1171,ViscountTrafalgar,loss,5 min
181,black,"Aug 12, 2019",https://www.chess.com/analysis/game/live/3942625175,12,1148,Canada,1094,jbell35,loss,5 min
182,white,"Aug 12, 2019",https://www.chess.com/analysis/game/live/3942022773,39,1158,United States,1060,pm777,win,5 min
183,white,"Aug 11, 2019",https://www.chess.com/analysis/game/live/3940902424,56,1152,United States,1075,lonewolf_425,draw,5 min
184,white,"Aug 11, 2019",https://www.chess.com/analysis/game/live/3940898471,9,1154,United States,1209,Cole_BM,win,5 min
185,black,"Aug 11, 2019",https://www.chess.com/analysis/game/live/3939468002,16,1144,Dominican Republic,1230,lenni20,loss,5 min
186,white,"Aug 11, 2019",https://www.chess.com/analysis/game/live/3939435455,45,1150,India,1062,atulatriwal,win,5 min
187,white,"Aug 10, 2019",https://www.chess.com/analysis/game/live/3936714639,15,1144,Mexico,1239,apporo,loss,5 min
188,black,"Aug 9, 2019",https://www.chess.com/analysis/game/live/3934466207,61,1150,United States,1180,AsTheRootsUndo,draw,5 min
189,black,"Aug 9, 2019",https://www.chess.com/analysis/game/live/3933889152,30,1149,India,1133,nisargnp,loss,5 min
190,black,"Aug 9, 2019",https://www.chess.com/analysis/game/live/3933677039,35,1158,Australia,1120,Smidisakhunt,loss,5 min
191,white,"Aug 8, 2019",https://www.chess.com/analysis/game/live/3932527984,25,991,Mexico,890,Pawn_s,win,1 min
192,black,"Aug 8, 2019",https://www.chess.com/analysis/game/live/3931911711,45,1167,United States,1029,zenswell,win,5 min
193,white,"Aug 8, 2019",https://www.chess.com/analysis/game/live/3931238946,35,1162,Saudi Arabia,1064,SqueakyKale,win,5 min
194,white,"Aug 7, 2019",https://www.chess.com/analysis/game/live/3930091378,30,1156,Turkey,1157,aecer,loss,5 min
195,white,"Aug 7, 2019",https://www.chess.com/analysis/game/live/3930060811,16,1164,United States,1265,d79ima,loss,5 min
196,black,"Aug 7, 2019",https://www.chess.com/analysis/game/live/3930057729,8,1170,Mexico,1234,Misteriovante,win,5 min
197,black,"Aug 7, 2019",https://www.chess.com/analysis/game/live/3930030868,27,1160,United States,1142,Timekillsmeoru,loss,5 min
198,white,"Aug 7, 2019",https://www.chess.com/analysis/game/live/3929617631,32,1169,Czech Republic,1204,phelper,loss,5 min
199,black,"Aug 7, 2019",https://www.chess.com/analysis/game/live/3928638446,23,1177,Germany,1168,madbert,win,5 min
200,white,"Aug 7, 2019",https://www.chess.com/analysis/game/live/3928331375,66,1169,Greece,1115,linosbad,win,5 min
201,black,"Aug 6, 2019",https://www.chess.com/analysis/game/live/3927334593,42,1162,United States,1169,newnuworld,loss,5 min
202,white,"Aug 6, 2019",https://www.chess.com/analysis/game/live/3925774459,27,1170,Italy,1169,Judstice1,loss,5 min
203,black,"Aug 6, 2019",https://www.chess.com/analysis/game/live/3925589961,35,1178,United States,1137,PaulMauriceH,win,5 min
204,black,"Aug 5, 2019",https://www.chess.com/analysis/game/live/3923990185,33,1171,United States,1175,snoozer7,win,5 min
205,white,"Aug 5, 2019",https://www.chess.com/analysis/game/live/3923423368,57,1162,United States,1177,Bankssh,loss,5 min
206,white,"Aug 5, 2019",https://www.chess.com/analysis/game/live/3922971736,74,1170,Switzerland,1162,Grasetron,win,5 min
207,white,"Aug 4, 2019",https://www.chess.com/analysis/game/live/3921379953,40,1162,Italy,1163,luvisama,win,5 min
208,black,"Aug 4, 2019",https://www.chess.com/analysis/game/live/3921018300,13,1154,Poland,1186,tomik83,loss,5 min
209,white,"Aug 4, 2019",https://www.chess.com/analysis/game/live/3920913686,67,1162,Scotland,1056,ENOTSGNIVIL,win,5 min
210,black,"Aug 4, 2019",https://www.chess.com/analysis/game/live/3920781111,32,1156,Spain,1133,jrcuneo,loss,5 min
211,black,"Aug 3, 2019",https://www.chess.com/analysis/game/live/3919076935,34,1165,United States,1107,mas3rf,win,5 min
212,white,"Aug 3, 2019",https://www.chess.com/analysis/game/live/3919033883,17,1158,Philippines,1137,ripperbrooks,loss,5 min
213,white,"Aug 3, 2019",https://www.chess.com/analysis/game/live/3918178350,39,1167,Iran,1112,falsafi75,win,5 min
214,black,"Aug 3, 2019",https://www.chess.com/analysis/game/live/3918061329,37,1160,United States,1138,vijoy1971,loss,5 min
215,black,"Aug 3, 2019",https://www.chess.com/analysis/game/live/3917947420,63,1169,Argentina,1199,Hugochess1,win,5 min
216,white,"Aug 3, 2019",https://www.chess.com/analysis/game/live/3917706596,20,1160,France,1227,roldah-saiyan,loss,5 min
217,black,"Aug 3, 2019",https://www.chess.com/analysis/game/live/3917680289,26,1167,India,1141,Bala_Satish,win,5 min
218,white,"Aug 3, 2019",https://www.chess.com/analysis/game/live/3917672640,18,1159,Brazil,1096,PeixeFresco,win,5 min
219,white,"Aug 3, 2019",https://www.chess.com/analysis/game/live/3917604435,32,1152,Australia,1083,TOysterHarbour,loss,5 min
220,black,"Aug 2, 2019",https://www.chess.com/analysis/game/live/3916344620,9,984,Dominican Republic,1635,masterk82,loss,1 min
221,black,"Aug 2, 2019",https://www.chess.com/analysis/game/live/3916341558,24,984,Norway,795,Sleez-Us,win,1 min
222,black,"Aug 2, 2019",https://www.chess.com/analysis/game/live/3916337552,45,979,Vietnam,860,binsunchess,win,1 min
223,white,"Aug 2, 2019",https://www.chess.com/analysis/game/live/3916333756,60,973,United States,1562,TimothyChklovski,loss,1 min
